"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Vanuatu ,44.59,17.74,24.35,0,10.07,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,40.41,20.07,30.15,0,4.21,1.05,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,29.63,16.53,40.34,0,4.31,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,46.95,22.7,16.77,0,10.01,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,65.85,15.23,11.1,0,2.74,1.51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,50.12,14.33,10.34,0,16.25,3.07,2.44,0,0,0,0,0,0,0,0,0,2,0,0,0,0
American Samoa ,34.35,13.78,24.8,0,21.28,1.52,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,43.46,13.62,14.9,0,21.78,2.31,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,35.26,36.66,18.68,0,5.37,1.46,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,41.46,8.37,25.37,0,17.92,1.26,1.79,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,38.01,26.72,23.02,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,42.04,15.09,32.47,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,48.02,10.38,27.95,0,2.9,1.23,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0
